output_path,date_string,date_iso,seed,tier,generator_type,model_checkpoint,left_margin,right_margin,top_margin,bottom_margin,baseline_ratio,height_ratio,width_ratio,stroke_thickness,max_z,layout_ok
stress_runs\20260120_080751\images\2025\01\09_seed40494.png,01/09/2025,2025-01-09,40494,A,handwriting_gan,pytorch_handwriting_gan,0.2109375,0.0,0.7265625,0.0,0.9453125,0.2734375,0.7890625,37.0,60.5,False
stress_runs\20260120_080751\images\2025\01\09_seed40495.png,01/09/2025,2025-01-09,40495,A,handwriting_gan,pytorch_handwriting_gan,0.08203125,0.0,0.0859375,0.1484375,0.1953125,0.765625,0.91796875,18.0,14.84375,True
stress_runs\20260120_080751\images\2025\01\09_seed40496.png,01/09/2025,2025-01-09,40496,A,handwriting_gan,pytorch_handwriting_gan,0.10546875,0.0,0.6953125,0.0,0.953125,0.3046875,0.89453125,21.0,20.5,True
stress_runs\20260120_080751\images\2025\01\10_seed40495.png,01/10/2025,2025-01-10,40495,A,handwriting_gan,pytorch_handwriting_gan,0.08203125,0.0,0.0859375,0.1484375,0.3125,0.765625,0.91796875,18.0,14.84375,True
stress_runs\20260120_080751\images\2025\01\10_seed40496.png,01/10/2025,2025-01-10,40496,A,handwriting_gan,pytorch_handwriting_gan,0.10546875,0.0390625,0.6953125,0.0,0.953125,0.3046875,0.85546875,21.0,20.5,True
stress_runs\20260120_080751\images\2025\01\10_seed40497.png,01/10/2025,2025-01-10,40497,A,handwriting_gan,pytorch_handwriting_gan,0.0859375,0.07421875,0.2109375,0.1015625,0.40625,0.6875,0.83984375,15.0,12.890625,True
stress_runs\20260120_080751\images\2025\01\11_seed40496.png,01/11/2025,2025-01-11,40496,A,handwriting_gan,pytorch_handwriting_gan,0.10546875,0.0390625,0.6953125,0.0,0.953125,0.3046875,0.85546875,21.0,20.5,True
stress_runs\20260120_080751\images\2025\01\11_seed40497.png,01/11/2025,2025-01-11,40497,A,handwriting_gan,pytorch_handwriting_gan,0.0859375,0.07421875,0.2265625,0.0859375,0.421875,0.6875,0.83984375,15.0,12.890625,True
stress_runs\20260120_080751\images\2025\01\11_seed40498.png,01/11/2025,2025-01-11,40498,A,handwriting_gan,pytorch_handwriting_gan,0.1328125,0.0,0.6171875,0.0,0.9296875,0.3828125,0.8671875,23.0,25.5,True
stress_runs\20260120_080751\images\2025\01\12_seed40497.png,01/12/2025,2025-01-12,40497,A,handwriting_gan,pytorch_handwriting_gan,0.0859375,0.07421875,0.2109375,0.1015625,0.40625,0.6875,0.83984375,15.0,12.890625,True
stress_runs\20260120_080751\images\2025\01\12_seed40498.png,01/12/2025,2025-01-12,40498,A,handwriting_gan,pytorch_handwriting_gan,0.1328125,0.0,0.6171875,0.0,0.9296875,0.3828125,0.8671875,23.0,25.5,True
stress_runs\20260120_080751\images\2025\01\12_seed40499.png,01/12/2025,2025-01-12,40499,A,handwriting_gan,pytorch_handwriting_gan,0.09375,0.0,0.125,0.109375,0.3515625,0.765625,0.90625,17.0,10.9375,True
stress_runs\20260120_080751\images\2025\01\13_seed40498.png,01/13/2025,2025-01-13,40498,A,handwriting_gan,pytorch_handwriting_gan,0.1328125,0.0,0.6171875,0.0,0.9296875,0.3828125,0.8671875,23.0,25.5,True
stress_runs\20260120_080751\images\2025\01\13_seed40499.png,01/13/2025,2025-01-13,40499,A,handwriting_gan,pytorch_handwriting_gan,0.09375,0.0,0.1328125,0.1015625,0.359375,0.765625,0.90625,17.0,10.499999046325684,True
stress_runs\20260120_080751\images\2025\01\13_seed40500.png,01/13/2025,2025-01-13,40500,A,handwriting_gan,pytorch_handwriting_gan,0.09375,0.0,0.65625,0.0,0.890625,0.34375,0.90625,18.0,12.999999046325684,True
